      after_month_1          Stable Stage Policy            45  4.546            1.818 2.279      0.905         24.014          4.726 -0.175              91.1%                     0.888889            2.2%             86.7%                   6.820                  4.579             15.958    12.6%                   75.911                 84.4%                    6.053902             0.351           0.738227           0.937429                 True
      after_month_1  Rolling Bridge-DFM Ensemble            45  7.107            1.941 2.830      1.124         43.764          5.169 -0.582              91.1%                     0.888889            2.2%             91.1%                   8.187                  4.455             21.522     5.6%                   75.911                 84.4%                    5.585186             0.063           0.792664           0.964889                 True
      after_month_1          Bridge-DFM Ensemble            45  7.125            2.040 2.887      1.149         43.727          5.700 -0.495              91.1%                     0.888889            2.2%             91.1%                   8.398                  4.455             21.770     3.3%                   75.911                 82.2%                    5.402219             0.063           0.792664           0.964889                 True
      after_month_1                 Bridge Ridge            45  9.992            2.351 3.632      1.779         63.440          6.298 -0.816              88.9%                     0.888889            0.0%             84.4%                   8.362                  4.327             26.784    11.1%                   75.911                 73.3%                    4.611840             0.577           0.712161           0.922546                 True
      after_month_1                        AR(1)            45 11.022            2.090 3.942      1.189         59.658          6.122 -1.478              86.7%                     0.888889           -2.2%             88.9%                   8.255                  5.725             33.032    42.2%                   75.911                 91.1%                    8.753019             0.190           0.765009           0.951595                 True
      after_month_2          Bridge-DFM Ensemble            45  2.759            1.840 1.859      1.112          7.654          5.324  0.433              91.1%                     0.888889            2.2%             86.7%                   7.268                  4.441             11.955     3.7%                   45.889                 82.2%                    4.879601             0.351           0.738227           0.937429                 True
      after_month_2 Robust Stage-Adaptive Policy            45  2.759            1.840 1.859      1.112          7.654          5.324  0.433              91.1%                     0.888889            2.2%             86.7%                   7.268                  4.441             11.955     3.7%                   45.889                 82.2%                    4.879601             0.351           0.738227           0.937429                 True
      after_month_2          Stable Stage Policy            45  2.759            1.840 1.859      1.112          7.654          5.324  0.433              91.1%                     0.888889            2.2%             86.7%                   7.268                  4.441             11.955     3.7%                   45.889                 82.2%                    4.879601             0.351           0.738227           0.937429                 True
      after_month_2  Rolling Bridge-DFM Ensemble            45  2.785            1.828 1.876      1.280          7.897          5.239  0.401              91.1%                     0.888889            2.2%             86.7%                   7.557                  4.441             12.371     4.4%                   45.889                 82.2%                    4.911034             0.351           0.738227           0.937429                 True
      after_month_2         Dynamic Factor Model            45  2.977            1.814 1.906      0.969          9.495          5.058  0.685              91.1%                     0.888889            2.2%             84.4%                   7.528                  4.511             13.020    35.6%                   45.889                 75.6%                    5.121516             0.577           0.712161           0.922546                 True
      after_month_2                 Bridge Ridge            45  4.230            2.080 2.415      1.406         21.428          5.798  0.181              91.1%                     0.888889            2.2%             77.8%                   8.017                  4.882             15.870    15.6%                   45.889                 71.1%                    4.609944             0.710           0.637307           0.874553                 True
      after_month_2                        AR(1)            45 10.757            2.097 3.898      1.146         57.495          6.127 -1.407              86.7%                     0.888889           -2.2%             88.9%                   8.279                  5.746             32.514    33.3%                   45.889                 91.1%                    8.746068             0.190           0.765009           0.951595                 True
        quarter_end          Stable Stage Policy            45  2.686            1.709 1.809      1.085          8.067          4.736  0.598              91.1%                     0.888889            2.2%             84.4%                   6.524                  4.401             11.364     2.2%                   30.378                 75.6%                    4.827551             0.577           0.712161           0.922546                 True
        quarter_end  Rolling Bridge-DFM Ensemble            45  2.686            1.709 1.809      1.085          8.067          4.736  0.598              91.1%                     0.888889            2.2%             84.4%                   6.524                  4.401             11.364     2.2%                   30.378                 75.6%                    4.827551             0.577           0.712161           0.922546                 True
        quarter_end          Bridge-DFM Ensemble            45  2.688            1.707 1.816      1.085          8.199          4.662  0.584              91.1%                     0.888889            2.2%             84.4%                   6.502                  4.401             11.355     0.0%                   30.378                 75.6%                    4.828869             0.577           0.712161           0.922546                 True
        quarter_end Robust Stage-Adaptive Policy            45  2.741            1.738 1.859      1.085          8.211          4.879  0.635              91.1%                     0.888889            2.2%             84.4%                   6.871                  4.401             11.877     5.6%                   30.378                 77.8%                    4.692377             0.577           0.712161           0.922546                 True
        quarter_end                 Bridge Ridge            45  2.751            1.771 1.897      1.032          8.211          4.879  0.517              91.1%                     0.888889            2.2%             88.9%                   6.848                  4.193             11.635    15.6%                   30.378                 80.0%                    4.609990             0.190           0.765009           0.951595                 True
        quarter_end         Dynamic Factor Model            45  2.890            1.795 1.875      0.988          8.954          5.003  0.651              91.1%                     0.888889            2.2%             86.7%                   7.421                  4.486             12.778    30.0%                   30.378                 77.8%                    5.034207             0.351           0.738227           0.937429                 True
        quarter_end                        AR(1)            45 10.697            2.092 3.886      1.154         56.933          6.136 -1.378              86.7%                     0.888889           -2.2%             86.7%                   8.242                  5.733             32.524    44.4%                   30.378                 91.1%                    8.731437             0.351           0.738227           0.937429                 True
pre_advance_release         Dynamic Factor Model            45  2.861            1.784 1.862      1.016          8.795          5.010  0.654              91.1%                     0.888889            2.2%             86.7%                   7.444                  4.462             12.800    12.2%                    1.000                 77.8%                    5.033525             0.351           0.738227           0.937429                 True
pre_advance_release          Stable Stage Policy            45  2.861            1.784 1.862      1.016          8.795          5.010  0.654              91.1%                     0.888889            2.2%             86.7%                   7.444                  4.462             12.800    12.2%                    1.000                 77.8%                    5.033525             0.351           0.738227           0.937429                 True
pre_advance_release          Bridge-DFM Ensemble            45  3.438            1.604 1.977      0.989         15.518          4.236  0.767              93.3%                     0.888889            4.4%             86.7%                   5.902                  4.395             13.021     4.4%                    1.000                 82.2%                    4.827401             0.351           0.738227           0.937429                 True
