fold_id,state_date,actual_family,source_predicted_family,source_actual_family_rank,source_actual_family_probability,source_top1_probability,source_top2_probability,source_top3_probability,source_second_third_probability_gap,source_entropy,source_normalised_entropy,source_top1_hit,source_top2_hit,source_top3_hit,source_soft_brier,source_soft_log_loss,rolling_frequency_predicted_family,rolling_frequency_actual_family_rank,rolling_frequency_actual_family_probability,rolling_frequency_top1_hit,rolling_frequency_top2_hit,rolling_frequency_top3_hit,rolling_frequency_soft_brier,rolling_frequency_soft_log_loss,previous_actual_family,next_actual_family,transition_month,one_month_before_transition,one_month_after_transition,adjacent_family_miss,miss_depth,state_context,confidence_context,adjacency_context,dimension_attribution,dimension_disagreement,source_brier_improvement,source_log_loss_improvement
fold_04,2023-09-30,mixed,contraction,3,0.1494140625,0.43359375,0.359375,0.1494140625,0.2099609375,1.2063037143265254,0.7495186394000883,False,False,True,0.868218622089904,2.029837985371967,benign_expansion,4,0.16666666666666669,False,False,False,0.8024691358024691,1.791759469228055,benign_expansion,benign_expansion,True,True,False,,rank_three_miss,transition_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,-0.06574948628743482,-0.23807851614391184
fold_04,2023-10-31,benign_expansion,benign_expansion,1,0.3310546875,0.3310546875,0.275390625,0.20703125,0.068359375,1.4345776319479475,0.8913531990670609,True,True,True,0.25001273920506606,1.4254959797656115,benign_expansion,1,0.5000000000000001,True,True,True,0.13580246913580246,1.1814193088568827,mixed,benign_expansion,True,False,True,,top2_hit,transition_month,low_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.1142102700692636,-0.24407667090872875
fold_05,2023-08-31,benign_expansion,benign_expansion,1,0.513671875,0.513671875,0.306640625,0.1435546875,0.1630859375,1.1108908463758684,0.6902352913358221,True,True,True,0.16009209348995174,1.1383441580317335,benign_expansion,1,0.33333333333333337,True,True,True,0.22650891632373116,1.3553334666532746,benign_expansion,mixed,False,True,True,,top2_hit,stable_state_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.06641682283377942,0.2169893086215411
fold_05,2023-09-30,mixed,contraction,3,0.1494140625,0.43359375,0.359375,0.1494140625,0.2099609375,1.2063037143265254,0.7495186394000883,False,False,True,0.868218622089904,2.029837985371967,benign_expansion,4,0.16666666666666669,False,False,False,0.8024691358024691,1.791759469228055,benign_expansion,benign_expansion,True,True,False,,rank_three_miss,transition_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,-0.06574948628743482,-0.23807851614391184
fold_05,2023-10-31,benign_expansion,benign_expansion,1,0.3310546875,0.3310546875,0.275390625,0.20703125,0.068359375,1.4345776319479475,0.8913531990670609,True,True,True,0.25001273920506606,1.4254959797656115,benign_expansion,1,0.5000000000000001,True,True,True,0.13580246913580246,1.1814193088568827,mixed,benign_expansion,True,False,True,,top2_hit,transition_month,low_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.1142102700692636,-0.24407667090872875
fold_05,2023-11-30,benign_expansion,benign_expansion,1,0.4384765625,0.4384765625,0.31640625,0.2080078125,0.1083984375,1.188892366049005,0.7387003604574806,True,True,True,0.4597511291503906,0.8244489178571988,benign_expansion,1,0.5000000000000001,True,True,True,0.33333333333333326,0.6931471805599451,benign_expansion,benign_expansion,False,False,True,,top2_hit,stable_state_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.12641779581705737,-0.1313017372972537
fold_05,2023-12-31,benign_expansion,benign_expansion,1,0.486328125,0.486328125,0.33984375,0.15625,0.18359375,1.0784446538422876,0.670075338421261,True,True,True,0.40407562255859375,0.7208717285748002,benign_expansion,1,0.5833333333333334,True,True,True,0.26388888888888884,0.5389965007326869,benign_expansion,mixed,False,True,False,,top2_hit,stable_state_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.1401867336697049,-0.1818752278421133
fold_05,2024-01-31,mixed,benign_expansion,3,0.1630859375,0.4755859375,0.3017578125,0.1630859375,0.138671875,1.183764068383097,0.7355139699628315,False,False,True,0.747468689341604,2.950809951497533,benign_expansion,2,0.25,False,True,True,0.6959876543209877,7.218455862188481,benign_expansion,contraction,True,True,False,,rank_three_miss,transition_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,-0.051481035020616295,4.267645910690948
fold_06,2023-11-30,benign_expansion,benign_expansion,1,0.4384765625,0.4384765625,0.31640625,0.2080078125,0.1083984375,1.188892366049005,0.7387003604574806,True,True,True,0.4597511291503906,0.8244489178571988,benign_expansion,1,0.5000000000000001,True,True,True,0.33333333333333326,0.6931471805599451,benign_expansion,benign_expansion,False,False,True,,top2_hit,stable_state_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.12641779581705737,-0.1313017372972537
fold_06,2023-12-31,benign_expansion,benign_expansion,1,0.486328125,0.486328125,0.33984375,0.15625,0.18359375,1.0784446538422876,0.670075338421261,True,True,True,0.40407562255859375,0.7208717285748002,benign_expansion,1,0.5833333333333334,True,True,True,0.26388888888888884,0.5389965007326869,benign_expansion,mixed,False,True,False,,top2_hit,stable_state_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.1401867336697049,-0.1818752278421133
fold_06,2024-01-31,mixed,benign_expansion,3,0.1630859375,0.4755859375,0.3017578125,0.1630859375,0.138671875,1.183764068383097,0.7355139699628315,False,False,True,0.747468689341604,2.950809951497533,benign_expansion,2,0.25,False,True,True,0.6959876543209877,7.218455862188481,benign_expansion,contraction,True,True,False,,rank_three_miss,transition_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,-0.051481035020616295,4.267645910690948
fold_06,2024-02-29,contraction,benign_expansion,3,0.2216796875,0.3193359375,0.244140625,0.2216796875,0.0224609375,1.4407994514689768,0.8952190328920013,False,False,True,0.8055496215820312,1.5065217881180504,benign_expansion,3,0.16666666666666666,False,False,True,1.0972222222222223,1.791759469228055,mixed,contraction,True,False,True,,rank_three_near_miss,transition_month,low_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,0.29167260064019107,0.2852376811100046
fold_06,2024-03-31,contraction,contraction,1,0.3759765625,0.3759765625,0.337890625,0.1865234375,0.1513671875,1.3153744392119178,0.817288091109123,True,True,True,0.54608154296875,0.9782284713116689,benign_expansion,3,0.16666666666666666,False,False,True,1.0972222222222223,1.791759469228055,contraction,mixed,False,True,True,,top2_hit,stable_state_month,low_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.5511406792534723,0.8135309979163861
fold_06,2024-04-30,mixed,benign_expansion,2,0.240234375,0.4091796875,0.240234375,0.220703125,0.01953125,1.3307074502108955,0.8268150264947747,False,True,True,0.8087978363037109,1.4261402696670904,benign_expansion,2,0.25,False,True,True,0.9305555555555556,1.3862943611198906,contraction,benign_expansion,True,True,False,,top2_hit,transition_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.12175771925184464,-0.039845908547199826
fold_07,2024-02-29,contraction,benign_expansion,3,0.2216796875,0.3193359375,0.244140625,0.2216796875,0.0224609375,1.4407994514689768,0.8952190328920013,False,False,True,0.8055496215820312,1.5065217881180504,benign_expansion,3,0.16666666666666666,False,False,True,1.0972222222222223,1.791759469228055,mixed,contraction,True,False,True,,rank_three_near_miss,transition_month,low_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,0.29167260064019107,0.2852376811100046
fold_07,2024-03-31,contraction,contraction,1,0.3759765625,0.3759765625,0.337890625,0.1865234375,0.1513671875,1.3153744392119178,0.817288091109123,True,True,True,0.54608154296875,0.9782284713116689,benign_expansion,3,0.16666666666666666,False,False,True,1.0972222222222223,1.791759469228055,contraction,mixed,False,True,True,,top2_hit,stable_state_month,low_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.5511406792534723,0.8135309979163861
fold_07,2024-04-30,mixed,benign_expansion,2,0.240234375,0.4091796875,0.240234375,0.220703125,0.01953125,1.3307074502108955,0.8268150264947747,False,True,True,0.8087978363037109,1.4261402696670904,benign_expansion,2,0.25,False,True,True,0.9305555555555556,1.3862943611198906,contraction,benign_expansion,True,True,False,,top2_hit,transition_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,0.12175771925184464,-0.039845908547199826
fold_07,2024-05-31,benign_expansion,benign_expansion,1,0.4599609375,0.4599609375,0.31640625,0.166015625,0.150390625,1.1954363297750734,0.7427663537309778,True,True,True,0.4223155975341797,0.7766137115830354,benign_expansion,1,0.5833333333333334,True,True,True,0.26388888888888884,0.5389965007326869,mixed,mixed,True,True,True,,top2_hit,transition_month,moderate_confidence,not_applicable,unavailable_from_frozen_v036_evidence,False,-0.15842670864529085,-0.23761721085034848
fold_07,2024-06-30,mixed,contraction,3,0.201171875,0.4033203125,0.380859375,0.201171875,0.1796875,1.121930421286549,0.6970945648905157,False,False,True,0.3817992740207248,1.3908387800318351,benign_expansion,2,0.25,False,True,True,0.2638888888888889,1.1038617409908227,benign_expansion,mixed,True,False,True,,rank_three_miss,transition_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,-0.11791038513183588,-0.28697703904101246
fold_07,2024-07-31,mixed,contraction,3,0.228515625,0.46484375,0.2978515625,0.228515625,0.0693359375,1.0957743908834916,0.6808429094516928,False,False,True,0.8235940684670446,1.4663362213065771,benign_expansion,2,0.25,False,True,True,0.8345336076817558,1.3549129588833273,mixed,,False,False,True,,rank_three_miss,stable_state_month,moderate_confidence,adjacency_unavailable,unavailable_from_frozen_v036_evidence,False,0.010939539214711136,-0.11142326242324985
